Cell_ID,Timestamp,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,Signal_Quality,Network_Load,Network_Health_Index
CELL_0024,2026-01-01 05:45:00,-76.1,28.4,9.7,99.8,0.35,282,106.6,0.94,-6.535915492957745
CELL_0025,2026-01-01 06:00:00,-81.7,3.9,31.1,112.2,1.33,226,89.66,0.7533333333333333,-3.6607692307692314
CELL_0026,2026-01-01 06:15:00,-71.8,27.9,46.5,139.5,3.56,214,108.02,0.7133333333333334,-45.06
CELL_0027,2026-01-01 06:30:00,-70.2,19.5,29.1,105.9,0.61,125,103.62,0.4166666666666667,-24.27923076923077
CELL_0028,2026-01-01 06:45:00,-116.8,0.6,35.5,119.7,0.04,40,73.64,0.13333333333333333,163.96
CELL_0029,2026-01-01 07:00:00,-108.6,27.2,52.3,18.8,1.19,258,92.88,0.86,-52.79882352941176
CELL_0030,2026-01-01 07:15:00,-109.3,4.0,56.5,116.4,2.36,252,78.68,0.84,-29.759999999999998
CELL_0031,2026-01-01 07:30:00,-79.6,5.7,10.3,89.1,2.12,249,91.58,0.83,3.2115789473684186
CELL_0032,2026-01-01 07:45:00,-76.8,1.6,40.9,131.0,0.3,183,90.24000000000001,0.61,40.675000000000004
CELL_0033,2026-01-01 08:00:00,-80.0,3.3,15.5,109.6,0.7,103,89.98,0.3433333333333333,17.01212121212121
CELL_0034,2026-01-01 08:15:00,-106.1,7.5,55.8,91.4,4.31,291,82.06,0.97,-47.92333333333333
CELL_0035,2026-01-01 08:30:00,-115.1,19.6,34.7,7.9,0.47,131,85.72,0.43666666666666665,-34.766938775510205
CELL_0036,2026-01-01 08:45:00,-111.7,14.6,16.8,83.2,0.29,204,84.07999999999998,0.68,-11.391369863013697
CELL_0037,2026-01-01 09:00:00,-119.9,11.7,56.0,158.1,1.43,294,79.05999999999999,0.98,-43.91717948717949
CELL_0038,2026-01-01 09:15:00,-86.9,14.6,15.4,47.5,0.29,287,94.0,0.9566666666666667,-12.436575342465753
CELL_0039,2026-01-01 09:30:00,-117.0,9.4,7.8,98.0,4.6,281,78.84,0.9366666666666666,-1.9744680851063832
CELL_0040,2026-01-01 09:45:00,-112.1,28.8,9.4,41.2,2.98,130,92.44,0.43333333333333335,-10.949444444444445
CELL_0041,2026-01-01 10:00:00,-99.8,28.2,36.3,117.9,0.2,51,97.0,0.17,-32.319148936170215
CELL_0042,2026-01-01 10:15:00,-99.0,17.5,33.8,187.3,1.02,170,90.9,0.5666666666666667,-24.117142857142856
CELL_0043,2026-01-01 10:30:00,-108.1,11.9,41.9,63.5,1.58,47,83.9,0.15666666666666668,-38.143865546218485
CELL_0044,2026-01-01 10:45:00,-119.5,18.6,36.0,24.5,2.69,269,83.36,0.8966666666666666,-37.372795698924726
CELL_0045,2026-01-01 11:00:00,-106.7,28.0,53.4,176.5,1.85,90,94.11999999999999,0.3,-48.94642857142857
CELL_0046,2026-01-01 11:15:00,-98.1,16.3,21.6,196.9,4.04,280,90.53999999999999,0.9333333333333333,-13.56024539877301
CELL_0047,2026-01-01 11:30:00,-119.6,24.5,21.5,134.4,4.69,78,86.86,0.26,-20.704285714285714
CELL_0048,2026-01-01 11:45:00,-106.8,26.7,45.8,35.3,1.41,117,93.3,0.39,-45.88790262172284
CELL_0049,2026-01-01 12:00:00,-84.1,6.1,39.9,56.5,2.44,36,90.02,0.12,-33.07770491803279
CELL_0050,2026-01-01 12:15:00,-115.4,12.7,20.2,5.7,3.86,144,81.46,0.48,-23.611181102362202
CELL_0051,2026-01-01 12:30:00,-111.9,13.3,43.8,114.4,0.56,86,83.22,0.2866666666666667,-35.7584962406015
CELL_0052,2026-01-01 12:45:00,-92.7,25.0,37.0,33.9,0.64,167,97.91999999999999,0.5566666666666666,-36.284
CELL_0053,2026-01-01 13:00:00,-101.8,28.0,58.5,12.8,1.79,137,96.08,0.45666666666666667,-59.832857142857144
CELL_0054,2026-01-01 13:15:00,-86.7,10.6,35.8,175.6,4.87,89,91.68,0.2966666666666667,-24.10396226415094
CELL_0055,2026-01-01 13:30:00,-73.7,7.1,13.9,161.0,0.89,221,94.78,0.7366666666666667,7.886056338028172
CELL_0056,2026-01-01 13:45:00,-118.8,22.1,23.3,186.5,4.01,137,85.74,0.45666666666666667,-18.87108597285068
CELL_0057,2026-01-01 14:00:00,-106.7,23.6,10.9,175.1,4.29,123,91.47999999999999,0.41,-7.770508474576272
CELL_0058,2026-01-01 14:15:00,-110.0,27.6,24.2,165.0,4.36,124,92.56,0.41333333333333333,-22.581739130434784
CELL_0059,2026-01-01 14:30:00,-118.8,5.8,23.1,173.5,4.83,152,75.96,0.5066666666666667,1.983793103448276
CELL_0060,2026-01-01 14:45:00,-102.4,15.3,42.4,169.5,1.66,24,88.22,0.08,-32.981568627450976
CELL_0061,2026-01-01 15:00:00,-114.2,29.1,14.8,192.7,1.33,65,91.78,0.21666666666666667,-9.508006872852235
CELL_0062,2026-01-01 15:15:00,-90.2,10.4,48.3,90.1,4.92,69,90.16,0.23,-44.55653846153846
CELL_0063,2026-01-01 15:30:00,-100.7,17.3,19.0,143.2,0.01,285,90.1,0.95,-10.732543352601157
CELL_0064,2026-01-01 15:45:00,-85.7,28.2,45.5,43.4,2.16,179,102.64,0.5966666666666667,-46.12099290780142
CELL_0065,2026-01-01 16:00:00,-88.8,19.9,11.9,180.5,2.54,219,96.41999999999999,0.73,-5.36964824120603
CELL_0066,2026-01-01 16:15:00,-103.7,20.9,35.5,42.4,3.32,204,91.06,0.68,-36.79129186602871
CELL_0067,2026-01-01 16:30:00,-86.1,27.1,38.9,63.7,2.74,10,101.82000000000001,0.03333333333333333,-39.28944649446495
CELL_0068,2026-01-01 16:45:00,-104.8,6.3,48.2,123.3,1.61,236,81.86,0.7866666666666666,-30.23857142857143
CELL_0069,2026-01-01 17:00:00,-97.9,6.4,31.0,180.7,3.98,96,84.67999999999999,0.32,-6.745625000000004
CELL_0070,2026-01-01 17:15:00,-87.1,8.5,41.5,125.8,0.47,130,90.26,0.43333333333333335,-27.17
CELL_0071,2026-01-01 17:30:00,-86.4,6.7,16.0,9.8,1.22,253,89.46,0.8433333333333334,-15.757313432835822
CELL_0072,2026-01-01 17:45:00,-89.4,23.1,30.0,177.8,2.88,206,98.1,0.6866666666666666,-25.183030303030304
CELL_0073,2026-01-01 18:00:00,-95.3,7.3,41.1,6.1,3.75,64,86.26,0.21333333333333335,-44.01438356164384
CELL_0074,2026-01-01 18:15:00,-81.1,6.6,49.2,140.7,2.32,295,91.52000000000001,0.9833333333333333,-30.201818181818187
CELL_0075,2026-01-01 18:30:00,-107.5,25.5,30.1,161.3,3.34,296,92.3,0.9866666666666667,-27.114509803921568
CELL_0076,2026-01-01 18:45:00,-90.2,28.5,54.0,124.5,3.6,268,101.02,0.8933333333333333,-53.231578947368426
CELL_0077,2026-01-01 19:00:00,-98.7,27.2,29.5,36.0,4.31,240,96.84,0.8,-32.48647058823529
CELL_0078,2026-01-01 19:15:00,-107.0,7.4,40.1,154.3,2.61,132,81.63999999999999,0.44,-21.85864864864865
CELL_0079,2026-01-01 19:30:00,-106.3,2.3,20.7,58.0,1.6,286,78.86,0.9533333333333334,2.9173913043478286
CELL_0080,2026-01-01 19:45:00,-116.0,4.5,26.1,34.8,1.07,222,76.3,0.74,-19.436666666666667
CELL_0081,2026-01-01 20:00:00,-99.6,16.3,27.9,45.3,2.1,20,89.94,0.06666666666666667,-27.220858895705522
CELL_0082,2026-01-01 20:15:00,-77.2,23.0,25.9,6.1,1.76,209,102.91999999999999,0.6966666666666667,-27.394782608695653
CELL_0083,2026-01-01 20:30:00,-77.3,28.6,28.0,150.8,2.73,122,106.24,0.4066666666666667,-25.457272727272727
CELL_0084,2026-01-01 20:45:00,-95.6,8.2,31.7,80.8,3.34,217,86.68,0.7233333333333334,-25.18634146341463
CELL_0085,2026-01-01 21:00:00,-83.8,25.2,55.6,196.2,2.67,211,101.6,0.7033333333333334,-50.48428571428572
CELL_0086,2026-01-01 21:15:00,-90.4,19.9,9.6,88.6,4.33,103,95.78,0.3433333333333333,-9.477738693467337
CELL_0087,2026-01-01 21:30:00,-117.5,11.4,16.6,68.7,3.81,204,79.84,0.68,-14.383684210526317
CELL_0088,2026-01-01 21:45:00,-106.1,28.5,28.2,167.8,2.35,286,94.66,0.9533333333333334,-24.662280701754387
CELL_0089,2026-01-01 22:00:00,-117.4,28.6,17.3,18.4,4.79,30,90.19999999999999,0.1,-21.446643356643357
CELL_0090,2026-01-01 22:15:00,-82.3,28.5,16.0,9.0,0.76,74,104.17999999999999,0.24666666666666667,-16.44421052631579
CELL_0091,2026-01-01 22:30:00,-96.3,3.4,57.1,95.7,1.28,198,83.52,0.66,-30.23294117647059
CELL_0092,2026-01-01 22:45:00,-111.6,18.2,46.1,27.3,4.1,169,86.28,0.5633333333333334,-48.7
CELL_0093,2026-01-01 23:00:00,-114.6,0.8,22.2,137.1,4.79,213,74.63999999999999,0.71,144.385
CELL_0094,2026-01-01 23:15:00,-72.9,5.9,37.6,167.0,1.21,164,94.38,0.5466666666666666,-10.504915254237293
CELL_0095,2026-01-01 23:30:00,-77.5,18.0,11.7,196.8,3.91,187,99.8,0.6233333333333333,-4.676666666666666
CELL_0096,2026-01-01 23:45:00,-93.4,19.8,8.8,131.3,0.06,225,94.52,0.75,-2.2286868686868693
CELL_0097,2026-01-02 00:00:00,-78.9,3.2,57.8,128.9,4.14,88,90.36,0.29333333333333333,-21.658749999999998
CELL_0098,2026-01-02 00:15:00,-98.2,22.0,58.1,57.7,4.04,285,93.92,0.95,-59.517272727272726
CELL_0099,2026-01-02 00:30:00,-81.3,13.9,50.4,120.5,1.61,135,95.82,0.45,-43.340935251798555
CELL_0100,2026-01-02 00:45:00,-78.5,2.6,53.5,52.6,2.32,204,90.16,0.68,-35.589230769230774
CELL_0101,2026-01-02 01:00:00,-103.2,14.8,22.9,100.1,1.77,142,87.6,0.47333333333333333,-17.906486486486486
CELL_0102,2026-01-02 01:15:00,-103.0,26.4,43.6,58.9,0.05,107,94.63999999999999,0.3566666666666667,-41.41893939393939
CELL_0103,2026-01-02 01:30:00,-115.7,21.6,31.9,152.8,3.45,261,86.68,0.87,-28.27592592592592
CELL_0104,2026-01-02 01:45:00,-97.6,0.5,21.2,83.9,1.22,198,81.25999999999999,0.66,145.38000000000002
CELL_0105,2026-01-02 02:00:00,-96.3,15.9,28.4,150.5,1.65,242,91.02,0.8066666666666666,-20.584591194968553
CELL_0106,2026-01-02 02:15:00,-106.5,7.5,11.6,42.6,0.6,284,81.9,0.9466666666666667,-6.519999999999999
CELL_0107,2026-01-02 02:30:00,-72.5,20.7,15.5,149.0,1.38,278,103.42,0.9266666666666666,-9.68193236714976
CELL_0108,2026-01-02 02:45:00,-90.2,29.4,50.8,62.8,1.8,164,101.55999999999999,0.5466666666666666,-50.46394557823129
CELL_0109,2026-01-02 03:00:00,-119.3,16.0,20.1,195.0,2.77,74,81.88,0.24666666666666667,-10.682500000000001
CELL_0110,2026-01-02 03:15:00,-88.1,22.6,10.6,7.4,1.42,255,98.32,0.85,-11.692566371681416
CELL_0111,2026-01-02 03:30:00,-98.0,5.5,7.8,188.5,2.39,43,84.1,0.14333333333333334,24.082727272727272
CELL_0112,2026-01-02 03:45:00,-100.0,2.2,39.6,15.5,0.75,298,81.32,0.9933333333333333,-33.304545454545455
CELL_0113,2026-01-02 04:00:00,-72.5,2.6,18.7,113.8,2.08,125,92.56,0.4166666666666667,22.989230769230765
CELL_0114,2026-01-02 04:15:00,-81.2,11.4,55.0,63.0,2.94,229,94.36,0.7633333333333333,-52.41368421052631
CELL_0115,2026-01-02 04:30:00,-104.7,18.6,38.5,149.3,4.74,116,89.28,0.38666666666666666,-35.21311827956989
CELL_0116,2026-01-02 04:45:00,-88.7,7.9,9.5,51.8,2.76,90,89.25999999999999,0.3,-5.703037974683545
CELL_0117,2026-01-02 05:00:00,-119.9,13.5,37.7,61.8,1.16,154,80.13999999999999,0.5133333333333333,-34.282222222222224
CELL_0118,2026-01-02 05:15:00,-84.9,13.6,42.8,185.2,3.94,111,94.2,0.37,-33.122352941176466
CELL_0119,2026-01-02 05:30:00,-98.7,16.3,40.6,182.1,4.13,46,90.3,0.15333333333333332,-33.55822085889571
CELL_0120,2026-01-02 05:45:00,-117.0,23.8,37.7,165.7,4.61,234,87.47999999999999,0.78,-35.34781512605043
CELL_0121,2026-01-02 06:00:00,-113.8,20.7,43.5,188.8,2.5,262,86.9,0.8733333333333333,-36.8792270531401
CELL_0122,2026-01-02 06:15:00,-98.1,17.9,53.9,148.2,3.02,23,91.5,0.07666666666666666,-48.640670391061455
CELL_0123,2026-01-02 06:30:00,-115.4,28.9,51.0,117.2,4.75,147,91.17999999999999,0.49,-51.694636678200695
CELL_0124,2026-01-02 06:45:00,-91.2,22.9,14.6,106.2,2.21,152,97.25999999999999,0.5066666666666667,-12.17244541484716
CELL_0125,2026-01-02 07:00:00,-110.9,17.6,39.9,100.9,0.46,188,86.19999999999999,0.6266666666666667,-34.62704545454545
CELL_0126,2026-01-02 07:15:00,-99.6,9.6,10.8,36.4,2.06,263,85.91999999999999,0.8766666666666667,-9.068333333333335
CELL_0127,2026-01-02 07:30:00,-105.6,28.4,49.7,112.3,2.27,171,94.8,0.57,-48.01577464788733
CELL_0128,2026-01-02 07:45:00,-107.4,3.5,47.5,173.7,4.12,10,79.13999999999999,0.03333333333333333,-1.9914285714285738
CELL_0129,2026-01-02 08:00:00,-87.1,16.3,27.7,41.6,1.81,265,94.94,0.8833333333333333,-26.957852760736195
CELL_0130,2026-01-02 08:15:00,-88.7,22.8,16.2,112.1,4.64,234,98.19999999999999,0.78,-15.923333333333332
CELL_0131,2026-01-02 08:30:00,-76.0,14.5,6.6,127.9,4.0,91,98.3,0.30333333333333334,-1.7793103448275858
CELL_0132,2026-01-02 08:45:00,-104.5,0.4,27.4,48.8,4.21,68,78.44,0.22666666666666666,90.39
CELL_0133,2026-01-02 09:00:00,-96.9,3.5,50.8,102.2,3.58,270,83.34,0.9,-25.18
CELL_0134,2026-01-02 09:15:00,-84.7,12.5,31.5,97.1,2.28,84,93.62,0.28,-26.012
CELL_0135,2026-01-02 09:30:00,-100.8,27.7,33.0,176.5,4.32,151,96.3,0.5033333333333333,-30.948158844765345
CELL_0136,2026-01-02 09:45:00,-81.4,25.6,23.7,158.6,1.34,11,102.8,0.03666666666666667,-18.8446875
CELL_0137,2026-01-02 10:00:00,-105.9,9.0,37.3,199.8,2.45,86,83.03999999999999,0.2866666666666667,-17.549999999999994
CELL_0138,2026-01-02 10:15:00,-97.7,14.5,23.3,153.8,1.89,174,89.61999999999999,0.58,-14.583103448275862
CELL_0139,2026-01-02 10:30:00,-76.5,29.4,18.1,79.7,4.28,220,107.03999999999999,0.7333333333333333,-19.669115646258504
CELL_0140,2026-01-02 10:45:00,-117.8,22.3,43.8,163.2,1.93,87,86.25999999999999,0.29,-38.41161434977578
CELL_0141,2026-01-02 11:00:00,-95.2,1.1,32.6,120.1,4.35,235,82.57999999999998,0.7833333333333333,72.23181818181817
CELL_0142,2026-01-02 11:15:00,-115.0,27.3,5.8,33.1,4.35,89,90.38,0.2966666666666667,-8.937545787545787
CELL_0143,2026-01-02 11:30:00,-116.3,23.4,19.6,126.5,1.99,51,87.52,0.17,-16.184017094017094
CELL_0144,2026-01-02 11:45:00,-77.4,25.6,52.3,79.1,1.58,259,104.39999999999999,0.8633333333333333,-50.790156249999995
CELL_0145,2026-01-02 12:00:00,-76.4,1.1,8.8,128.1,4.6,126,90.1,0.42,103.05454545454545
CELL_0146,2026-01-02 12:15:00,-82.7,13.0,10.4,128.6,4.36,237,94.72,0.79,-4.867692307692308
CELL_0147,2026-01-02 12:30:00,-111.7,9.0,6.6,68.3,0.28,193,80.72,0.6433333333333333,0.7088888888888889
CELL_0148,2026-01-02 12:45:00,-101.3,4.4,34.2,115.4,3.96,97,82.12,0.3233333333333333,-11.932727272727277
CELL_0149,2026-01-02 13:00:00,-111.2,18.3,26.0,138.2,2.49,83,86.5,0.27666666666666667,-20.938087431693994
CELL_0150,2026-01-02 13:15:00,-108.4,19.1,30.3,135.0,4.49,248,88.1,0.8266666666666667,-27.721937172774872
CELL_0151,2026-01-02 13:30:00,-74.9,20.3,13.7,91.1,1.73,163,102.22,0.5433333333333333,-10.94231527093596
CELL_0152,2026-01-02 13:45:00,-88.1,12.7,18.8,169.8,1.0,206,92.38,0.6866666666666666,-6.429921259842519
CELL_0153,2026-01-02 14:00:00,-77.3,3.2,26.0,75.0,1.48,161,91.0,0.5366666666666666,-4.0425
CELL_0154,2026-01-02 14:15:00,-118.9,24.9,26.8,6.6,4.33,35,87.38,0.11666666666666667,-30.864939759036147
CELL_0155,2026-01-02 14:30:00,-74.5,22.4,50.8,181.1,3.88,127,103.64,0.42333333333333334,-46.59517857142857
CELL_0156,2026-01-02 14:45:00,-89.6,10.6,40.0,126.1,3.39,80,90.52000000000001,0.26666666666666666,-31.49377358490566
CELL_0157,2026-01-02 15:00:00,-88.6,27.1,40.5,65.2,2.2,196,100.82000000000001,0.6533333333333333,-40.294095940959416
CELL_0158,2026-01-02 15:15:00,-83.4,2.7,21.2,150.8,0.88,77,88.25999999999999,0.25666666666666665,33.77185185185186
CELL_0159,2026-01-02 15:30:00,-80.7,26.3,25.1,102.8,1.36,94,103.5,0.31333333333333335,-22.55125475285171
CELL_0160,2026-01-02 15:45:00,-107.2,24.7,31.5,162.3,3.73,183,91.94,0.61,-28.65914979757085
CELL_0161,2026-01-02 16:00:00,-79.8,14.0,9.1,152.1,1.13,213,96.47999999999999,0.71,0.6342857142857143
CELL_0162,2026-01-02 16:15:00,-71.6,24.1,25.1,159.2,0.07,284,105.82,0.9466666666666667,-18.5641908713693
CELL_0163,2026-01-02 16:30:00,-113.8,11.1,46.2,56.1,1.91,200,81.13999999999999,0.6666666666666666,-43.05594594594594
CELL_0164,2026-01-02 16:45:00,-114.6,7.0,6.4,177.4,2.81,123,78.36,0.41,16.132857142857144
CELL_0165,2026-01-02 17:00:00,-87.6,19.1,30.5,141.7,3.25,69,96.42,0.23,-26.331151832460733
CELL_0166,2026-01-02 17:15:00,-113.0,28.4,21.7,101.1,0.49,285,91.84,0.95,-18.63014084507042
CELL_0167,2026-01-02 17:30:00,-113.2,13.6,41.9,149.9,4.73,224,82.88,0.7466666666666667,-35.60794117647059
CELL_0168,2026-01-02 17:45:00,-90.6,21.8,53.7,132.7,4.17,218,96.84,0.7266666666666667,-51.782844036697256
CELL_0169,2026-01-02 18:00:00,-73.0,8.4,43.0,47.4,2.22,130,95.84,0.43333333333333335,-39.57714285714286
CELL_0170,2026-01-02 18:15:00,-77.2,3.0,42.7,111.2,4.89,193,90.92,0.6433333333333333,-10.523333333333333
CELL_0171,2026-01-02 18:30:00,-117.0,8.3,58.3,190.1,4.12,56,78.17999999999999,0.18666666666666668,-39.51638554216867
CELL_0172,2026-01-02 18:45:00,-86.9,19.3,37.8,9.2,3.93,134,96.82,0.44666666666666666,-41.25331606217616
CELL_0173,2026-01-02 19:00:00,-70.6,23.6,16.3,166.8,2.77,120,105.92,0.4,-12.002203389830509
CELL_0174,2026-01-02 19:15:00,-79.3,7.0,47.6,158.8,2.98,151,92.48,0.5033333333333333,-27.894285714285715
CELL_0175,2026-01-02 19:30:00,-77.1,4.3,12.1,53.9,0.87,23,91.74,0.07666666666666666,-0.43511627906976613
CELL_0176,2026-01-02 19:45:00,-113.4,10.7,48.4,119.8,0.08,145,81.06,0.48333333333333334,-37.283738317757006
CELL_0177,2026-01-02 20:00:00,-117.4,22.3,33.9,150.4,2.38,195,86.41999999999999,0.65,-29.53560538116592
CELL_0178,2026-01-02 20:15:00,-94.3,3.3,32.7,189.4,0.22,276,84.25999999999999,0.92,24.473939393939396
CELL_0179,2026-01-02 20:30:00,-104.9,19.3,6.7,199.7,4.24,228,89.61999999999999,0.76,-0.5928497409326434
CELL_0180,2026-01-02 20:45:00,-85.7,14.7,55.0,19.3,0.4,85,94.53999999999999,0.2833333333333333,-54.08707482993197
CELL_0181,2026-01-02 21:00:00,-116.7,8.3,39.8,111.9,1.63,281,78.3,0.9366666666666666,-27.948072289156624
CELL_0182,2026-01-02 21:15:00,-105.3,15.2,28.7,159.7,0.57,292,87.0,0.9733333333333334,-18.76342105263158
CELL_0183,2026-01-02 21:30:00,-84.0,6.5,29.8,49.6,1.69,242,90.3,0.8066666666666666,-23.85923076923077
CELL_0184,2026-01-02 21:45:00,-100.1,21.9,22.2,65.9,1.27,88,93.1,0.29333333333333333,-20.460867579908676
CELL_0185,2026-01-02 22:00:00,-85.7,14.2,10.0,21.6,2.16,200,94.24,0.6666666666666666,-10.63887323943662
CELL_0186,2026-01-02 22:15:00,-79.4,16.7,37.3,114.5,1.65,72,98.25999999999999,0.24,-32.093712574850294
CELL_0187,2026-01-02 22:30:00,-99.5,26.2,56.8,87.5,4.58,36,95.91999999999999,0.12,-58.04030534351145
CELL_0188,2026-01-02 22:45:00,-71.6,18.0,24.3,117.7,1.06,256,102.16,0.8533333333333334,-18.82111111111111
CELL_0189,2026-01-02 23:00:00,-108.8,3.2,51.5,76.7,3.81,125,78.4,0.4166666666666667,-31.34125
CELL_0190,2026-01-02 23:15:00,-79.6,25.4,58.6,164.6,3.07,295,103.4,0.9833333333333333,-55.18968503937008
CELL_0191,2026-01-02 23:30:00,-118.7,27.9,50.6,57.2,0.9,168,89.25999999999999,0.56,-49.44982078853047
CELL_0192,2026-01-02 23:45:00,-73.9,10.5,15.0,32.9,3.29,45,96.74,0.15,-15.156666666666666
CELL_0193,2026-01-03 00:00:00,-112.9,19.0,6.7,150.5,1.08,224,86.24,0.7466666666666667,0.14105263157894754
CELL_0194,2026-01-03 00:15:00,-97.3,4.7,22.1,68.3,4.71,53,83.9,0.17666666666666667,-12.278085106382981
CELL_0195,2026-01-03 00:30:00,-75.8,4.7,46.5,14.7,0.41,236,92.5,0.7866666666666666,-43.78234042553191
CELL_0196,2026-01-03 00:45:00,-86.9,14.6,29.3,58.3,3.77,68,94.0,0.22666666666666666,-29.076849315068493
CELL_0197,2026-01-03 01:00:00,-102.7,3.3,42.3,120.7,2.63,167,80.89999999999999,0.5566666666666666,-8.354242424242418
CELL_0198,2026-01-03 01:15:00,-117.7,11.9,38.0,6.5,1.51,118,80.06,0.3933333333333333,-38.96378151260504
CELL_0199,2026-01-03 01:30:00,-81.6,22.9,20.9,28.4,2.49,230,101.1,0.7666666666666667,-22.149825327510918
CELL_0200,2026-01-03 01:45:00,-111.2,11.4,43.7,102.6,4.17,191,82.36,0.6366666666666667,-38.870000000000005
CELL_0201,2026-01-03 02:00:00,-116.4,25.9,7.3,8.7,4.61,170,88.97999999999999,0.5666666666666667,-11.574092664092664
CELL_0202,2026-01-03 02:15:00,-91.2,17.2,44.0,86.5,0.58,20,93.84,0.06666666666666667,-39.55093023255814
CELL_0203,2026-01-03 02:30:00,-71.7,5.2,57.1,94.7,3.45,195,94.44,0.65,-42.338461538461544
CELL_0204,2026-01-03 02:45:00,-115.6,25.3,18.4,119.8,2.62,212,88.94,0.7066666666666667,-16.28482213438735
CELL_0205,2026-01-03 03:00:00,-76.5,22.4,17.2,156.9,0.38,68,102.84,0.22666666666666666,-10.575535714285714
CELL_0206,2026-01-03 03:15:00,-93.5,5.8,47.7,73.5,4.79,85,86.08,0.2833333333333333,-39.81758620689656
CELL_0207,2026-01-03 03:30:00,-108.2,4.4,15.8,122.5,3.8,48,79.36,0.16,8.240909090909089
CELL_0208,2026-01-03 03:45:00,-111.1,23.2,32.2,152.1,3.8,239,89.48,0.7966666666666666,-29.443965517241384
CELL_0209,2026-01-03 04:00:00,-85.9,26.5,40.4,197.4,1.62,171,101.53999999999999,0.57,-34.57094339622641
CELL_0210,2026-01-03 04:15:00,-112.5,2.0,29.3,64.0,1.37,38,76.2,0.12666666666666668,1.3299999999999992
CELL_0211,2026-01-03 04:30:00,-102.4,2.2,30.4,12.3,1.84,156,80.35999999999999,0.52,-26.64909090909091
CELL_0212,2026-01-03 04:45:00,-116.2,25.9,52.0,124.9,2.54,246,89.06,0.82,-49.71760617760618
CELL_0213,2026-01-03 05:00:00,-91.0,28.6,45.6,13.0,4.55,106,100.76,0.35333333333333333,-49.695454545454545
CELL_0214,2026-01-03 05:15:00,-103.9,14.3,13.3,17.1,0.52,185,87.02,0.6166666666666667,-12.624195804195804
CELL_0215,2026-01-03 05:30:00,-70.9,2.5,40.5,12.6,3.54,234,93.14,0.78,-39.0
CELL_0216,2026-01-03 05:45:00,-93.8,18.3,25.0,184.0,1.94,183,93.46,0.61,-16.88535519125683
